n,probability,1/sqrt(ln(n)),ratio,original_success,inverted_success,both_success,none_success
556,0.33305,0.397754,0.837326,0.33174,0.33436,0,0.3339
557,0.33073,0.397698,0.831611,0.32942,0.33204,0,0.33854
558,0.33125,0.397642,0.833037,0.3333,0.3292,0,0.3375
559,0.33176,0.397585,0.834437,0.33078,0.33274,0,0.33648
560,0.3328,0.397529,0.837171,0.33384,0.33176,0,0.3344
561,0.33095,0.397473,0.832635,0.33082,0.33108,0,0.3381
562,0.33117,0.397417,0.833306,0.33308,0.32926,0,0.33766
563,0.32995,0.397361,0.830352,0.3281,0.3318,0,0.3401
564,0.33044,0.397306,0.831702,0.33136,0.32952,0,0.33912
565,0.33042,0.39725,0.831768,0.331,0.32984,0,0.33916
566,0.3319,0.397195,0.83561,0.33386,0.32994,0,0.3362
567,0.33118,0.397139,0.833914,0.33042,0.33194,0,0.33764
568,0.33197,0.397084,0.836019,0.32982,0.33412,0,0.33606
569,0.32926,0.397029,0.829309,0.32754,0.33098,0,0.34148
570,0.32961,0.396974,0.830306,0.33244,0.32678,0,0.34078
571,0.33074,0.396919,0.833267,0.33118,0.3303,0,0.33852
572,0.33026,0.396865,0.832173,0.3303,0.33022,0,0.33948
573,0.32926,0.39681,0.829767,0.3272,0.33132,0,0.34148
574,0.32962,0.396756,0.830788,0.32586,0.33338,0,0.34076
575,0.3291,0.396701,0.829591,0.3272,0.331,0,0.3418
576,0.33035,0.396647,0.832856,0.32926,0.33144,0,0.3393
577,0.32982,0.396593,0.831633,0.32884,0.3308,0,0.34036
578,0.32993,0.396539,0.832024,0.32458,0.33528,0,0.34014
579,0.3294,0.396485,0.8308,0.3298,0.329,0,0.3412
580,0.33139,0.396431,0.835933,0.3303,0.33248,0,0.33722
581,0.32993,0.396378,0.832363,0.3277,0.33216,0,0.34014
582,0.33026,0.396324,0.833308,0.33144,0.32908,0,0.33948
583,0.33085,0.396271,0.834909,0.33292,0.32878,0,0.3383
584,0.33089,0.396218,0.835122,0.33146,0.33032,0,0.33822
585,0.33032,0.396164,0.833795,0.32742,0.33322,0,0.33936
586,0.33,0.396111,0.833099,0.3312,0.3288,0,0.34
587,0.32939,0.396058,0.831671,0.32656,0.33222,0,0.34122
588,0.32998,0.396005,0.833272,0.329,0.33096,0,0.34004
589,0.32977,0.395953,0.832852,0.33314,0.3264,0,0.34046
590,0.32736,0.3959,0.826875,0.32672,0.328,0,0.34528
591,0.32981,0.395847,0.833174,0.33062,0.329,0,0.34038
592,0.32764,0.395795,0.827802,0.32786,0.32742,0,0.34472
593,0.32905,0.395743,0.831475,0.32996,0.32814,0,0.3419
594,0.32939,0.395691,0.832443,0.32854,0.33024,0,0.34122
595,0.32783,0.395638,0.82861,0.3299,0.32576,0,0.34434
596,0.32701,0.395586,0.826646,0.32836,0.32566,2e-05,0.346
597,0.32973,0.395535,0.833631,0.32986,0.3296,0,0.34054
598,0.33077,0.395483,0.83637,0.33032,0.33122,0,0.33846
599,0.32811,0.395431,0.829753,0.32834,0.32788,0,0.34378
600,0.3293,0.39538,0.832871,0.33024,0.32836,0,0.3414
601,0.32793,0.395328,0.829513,0.32804,0.32782,0,0.34414
602,0.32864,0.395277,0.831417,0.33012,0.32716,0,0.34272
603,0.32764,0.395226,0.828995,0.32754,0.32774,0,0.34472
604,0.32887,0.395174,0.832215,0.32818,0.32956,0,0.34226
605,0.32895,0.395123,0.832525,0.32906,0.32884,0,0.3421
606,0.32779,0.395072,0.829696,0.32746,0.32812,0,0.34442
607,0.32911,0.395022,0.833144,0.33214,0.32608,0,0.34178
608,0.3283,0.394971,0.831201,0.33054,0.32606,0,0.3434
609,0.32968,0.39492,0.834801,0.3277,0.33166,0,0.34064
610,0.32813,0.39487,0.830983,0.3282,0.32806,0,0.34374
611,0.32796,0.394819,0.830658,0.32794,0.32798,0,0.34408
612,0.32744,0.394769,0.829447,0.3298,0.32508,0,0.34512
613,0.3262,0.394719,0.826411,0.32418,0.32822,0,0.3476
614,0.3262,0.394669,0.826516,0.32546,0.32694,0,0.3476
615,0.32696,0.394619,0.828547,0.32684,0.32708,0,0.34608
616,0.32649,0.394569,0.82746,0.32388,0.3291,0,0.34702
617,0.32845,0.394519,0.832533,0.33162,0.32528,0,0.3431
618,0.3276,0.394469,0.830483,0.32696,0.32824,0,0.3448
619,0.32764,0.39442,0.830689,0.32638,0.3289,0,0.34472
620,0.3292,0.39437,0.834749,0.32716,0.33124,0,0.3416
621,0.32798,0.394321,0.83176,0.33154,0.32442,0,0.34404
622,0.3277,0.394271,0.831153,0.32508,0.33032,0,0.3446
623,0.32712,0.394222,0.829786,0.32846,0.32578,0,0.34576
624,0.32721,0.394173,0.830118,0.32682,0.3276,0,0.34558
625,0.32779,0.394124,0.831693,0.32354,0.33204,0,0.34442
626,0.32568,0.394075,0.826442,0.3263,0.32506,0,0.34864
627,0.32754,0.394026,0.831264,0.32534,0.32974,0,0.34492
628,0.32827,0.393978,0.83322,0.32636,0.33018,0,0.34346
629,0.32696,0.393929,0.829998,0.32814,0.32578,0,0.34608
630,0.3274,0.39388,0.831217,0.32698,0.32782,0,0.3452
631,0.32738,0.393832,0.831268,0.32844,0.32632,2e-05,0.34526
632,0.32735,0.393784,0.831294,0.32822,0.32648,0,0.3453
633,0.32675,0.393735,0.829872,0.3245,0.329,0,0.3465
634,0.32764,0.393687,0.832235,0.32748,0.3278,0,0.34472
635,0.32777,0.393639,0.832666,0.3261,0.32944,0,0.34446
636,0.32652,0.393591,0.829592,0.32526,0.32778,0,0.34696
637,0.32809,0.393543,0.833682,0.33058,0.3256,0,0.34382
638,0.32818,0.393495,0.834012,0.32862,0.32774,0,0.34364
639,0.32871,0.393448,0.835461,0.33154,0.32588,0,0.34258
640,0.32725,0.3934,0.83185,0.32504,0.32946,0,0.3455
641,0.3257,0.393353,0.82801,0.32444,0.32696,0,0.3486
642,0.32735,0.393305,0.832306,0.32724,0.32746,0,0.3453
643,0.32622,0.393258,0.829532,0.3285,0.32394,0,0.34756
644,0.32803,0.393211,0.834235,0.3278,0.32826,0,0.34394
645,0.32666,0.393163,0.830851,0.32436,0.32896,0,0.34668
646,0.32731,0.393116,0.832604,0.32714,0.32748,0,0.34538
647,0.32741,0.393069,0.832957,0.32976,0.32506,0,0.34518
648,0.32589,0.393022,0.829189,0.32756,0.32422,0,0.34822
649,0.32527,0.392976,0.82771,0.32526,0.32528,0,0.34946
650,0.32744,0.392929,0.833331,0.32852,0.32636,0,0.34512
651,0.32578,0.392882,0.829205,0.32544,0.32612,0,0.34844
652,0.32633,0.392836,0.830703,0.32746,0.3252,0,0.34734
653,0.32629,0.392789,0.8307,0.32456,0.32802,0,0.34742
654,0.32733,0.392743,0.833446,0.32722,0.32744,0,0.34534
655,0.3269,0.392697,0.832449,0.32714,0.32666,0,0.3462
656,0.32513,0.39265,0.828039,0.32516,0.3251,0,0.34974
657,0.32677,0.392604,0.832314,0.32482,0.32872,0,0.34646
658,0.32651,0.392558,0.831749,0.32682,0.3262,0,0.34698
659,0.32722,0.392512,0.833655,0.32474,0.3297,0,0.34556
660,0.32568,0.392467,0.829829,0.3248,0.32656,0,0.34864
661,0.3257,0.392421,0.829976,0.32792,0.32348,2e-05,0.34862
662,0.32693,0.392375,0.833208,0.3261,0.32776,0,0.34614
663,0.32597,0.39233,0.830858,0.32574,0.3262,0,0.34806
664,0.3272,0.392284,0.834089,0.32396,0.33044,0,0.3456
665,0.32547,0.392239,0.829775,0.32322,0.32772,0,0.34906
666,0.32572,0.392193,0.830509,0.32456,0.32688,0,0.34856
667,0.32456,0.392148,0.827646,0.32334,0.32578,0,0.35088
668,0.32607,0.392103,0.831593,0.32562,0.32652,0,0.34786
669,0.32447,0.392058,0.827607,0.32288,0.32606,0,0.35106
670,0.3249,0.392013,0.828799,0.32566,0.32414,0,0.3502
671,0.32556,0.391968,0.830578,0.32624,0.32488,0,0.34888
672,0.32356,0.391923,0.82557,0.32318,0.32394,0,0.35288
673,0.32509,0.391878,0.829569,0.32576,0.32442,0,0.34982
674,0.32421,0.391834,0.827417,0.32504,0.32338,0,0.35158
675,0.32455,0.391789,0.828379,0.32592,0.32318,0,0.3509
676,0.32741,0.391745,0.835774,0.32528,0.32954,0,0.34518
677,0.32685,0.3917,0.834439,0.32536,0.32834,0,0.3463
678,0.32441,0.391656,0.828304,0.32384,0.32498,0,0.35118
679,0.32381,0.391612,0.826865,0.32196,0.32566,0,0.35238
680,0.32568,0.391567,0.831734,0.32642,0.32494,0,0.34864
681,0.32445,0.391523,0.828686,0.3249,0.324,0,0.3511
682,0.32717,0.391479,0.835728,0.3245,0.32984,0,0.34566
