n,probability,1/sqrt(ln(n)),ratio
165,0.3806,0.44255,0.860017
166,0.38018,0.442288,0.859576
167,0.37788,0.442028,0.854877
168,0.37926,0.441771,0.8585
169,0.37962,0.441515,0.859812
170,0.37527,0.441261,0.850448
171,0.37698,0.44101,0.854811
172,0.37625,0.44076,0.853639
173,0.37868,0.440512,0.859636
174,0.37613,0.440266,0.854325
175,0.37818,0.440021,0.859458
176,0.38104,0.439779,0.866435
177,0.37649,0.439538,0.856558
178,0.37683,0.439299,0.857798
179,0.37328,0.439062,0.850176
180,0.37543,0.438826,0.855532
181,0.37937,0.438592,0.864972
182,0.37588,0.43836,0.857468
183,0.37525,0.43813,0.856482
184,0.37582,0.437901,0.858231
185,0.37563,0.437673,0.858243
186,0.37212,0.437447,0.850662
187,0.37303,0.437223,0.85318
188,0.37565,0.437,0.85961
189,0.37042,0.436779,0.848071
190,0.37229,0.43656,0.852782
191,0.37187,0.436341,0.852246
192,0.37223,0.436125,0.853495
193,0.37336,0.435909,0.856509
194,0.37347,0.435695,0.857181
195,0.37283,0.435483,0.85613
196,0.37177,0.435272,0.85411
197,0.3718,0.435062,0.854591
198,0.36805,0.434854,0.846376
199,0.36853,0.434647,0.847884
200,0.37206,0.434441,0.85641
201,0.37461,0.434237,0.862686
202,0.37207,0.434034,0.857237
203,0.37411,0.433832,0.862338
204,0.36813,0.433632,0.848946
205,0.37109,0.433432,0.856166
206,0.37008,0.433234,0.854226
207,0.36969,0.433038,0.853713
208,0.37451,0.432842,0.865235
209,0.36854,0.432648,0.851825
210,0.37081,0.432455,0.857454
211,0.36853,0.432263,0.85256
212,0.37024,0.432072,0.856895
213,0.36758,0.431882,0.851112
214,0.36765,0.431694,0.851646
215,0.36768,0.431506,0.852085
216,0.36982,0.43132,0.857415
217,0.36711,0.431135,0.851497
218,0.3669,0.430951,0.851374
219,0.36592,0.430768,0.84946
220,0.36793,0.430586,0.854487
221,0.36834,0.430405,0.855799
222,0.36521,0.430225,0.848882
223,0.3657,0.430046,0.850374
224,0.36732,0.429868,0.854494
225,0.36785,0.429691,0.85608
226,0.36928,0.429516,0.859759
227,0.36713,0.429341,0.855102
228,0.36648,0.429167,0.853933
229,0.36482,0.428994,0.850408
230,0.36462,0.428822,0.850283
231,0.36558,0.428651,0.852861
232,0.36348,0.428481,0.848299
233,0.36353,0.428312,0.84875
234,0.36256,0.428144,0.846818
235,0.36655,0.427977,0.856472
236,0.3639,0.42781,0.85061
237,0.36457,0.427645,0.852506
238,0.36273,0.42748,0.84853
239,0.36115,0.427317,0.845158
240,0.3631,0.427154,0.850045
241,0.36376,0.426992,0.851913
242,0.35979,0.426831,0.842933
243,0.36534,0.426671,0.856258
244,0.36428,0.426511,0.854092
245,0.36309,0.426353,0.851619
246,0.35967,0.426195,0.84391
247,0.36189,0.426038,0.849431
248,0.35942,0.425882,0.843943
249,0.36256,0.425726,0.851627
250,0.36622,0.425572,0.860536
251,0.36254,0.425418,0.852197
252,0.36345,0.425265,0.854643
253,0.36011,0.425113,0.847092
254,0.36325,0.424962,0.854783
255,0.35982,0.424811,0.847012
256,0.36026,0.424661,0.848347
257,0.36033,0.424512,0.848811
258,0.36413,0.424363,0.858062
259,0.35978,0.424215,0.848107
260,0.36064,0.424068,0.850429
261,0.36036,0.423922,0.850062
262,0.35576,0.423777,0.839499
263,0.36192,0.423632,0.854327
264,0.35904,0.423488,0.847817
265,0.35742,0.423344,0.844278
266,0.35951,0.423201,0.849501
267,0.3591,0.423059,0.848818
268,0.36103,0.422918,0.853665
269,0.35949,0.422777,0.850307
270,0.35728,0.422637,0.84536
271,0.36039,0.422497,0.853
272,0.35854,0.422358,0.8489
273,0.35759,0.42222,0.846928
274,0.3555,0.422083,0.842252
275,0.35447,0.421946,0.840084
276,0.35986,0.421809,0.853134
277,0.35625,0.421674,0.844847
278,0.35539,0.421539,0.843078
279,0.35712,0.421404,0.847452
280,0.35759,0.421271,0.848837
281,0.35656,0.421137,0.84666
282,0.35565,0.421005,0.844765
283,0.35738,0.420873,0.84914
284,0.35659,0.420741,0.847528
285,0.35585,0.420611,0.846032
286,0.35816,0.42048,0.851788
287,0.35494,0.420351,0.84439
288,0.35373,0.420221,0.84177
289,0.35621,0.420093,0.847931
290,0.35575,0.419965,0.847095
291,0.35582,0.419838,0.847518
292,0.35805,0.419711,0.853088
293,0.35586,0.419584,0.848125
294,0.35528,0.419459,0.846997
295,0.35529,0.419333,0.847274
296,0.35554,0.419209,0.848122
297,0.35575,0.419084,0.848874
298,0.35425,0.418961,0.845545
299,0.35328,0.418838,0.843477
300,0.35329,0.418715,0.843748
301,0.35228,0.418593,0.841581
302,0.35374,0.418471,0.845315
303,0.35245,0.41835,0.842476
304,0.35214,0.41823,0.841978
305,0.35362,0.41811,0.845759
306,0.35304,0.41799,0.844613
307,0.35443,0.417871,0.848181
308,0.3561,0.417752,0.852419
309,0.35005,0.417634,0.838174
310,0.35623,0.417517,0.853212
311,0.35192,0.417399,0.843125
312,0.3531,0.417283,0.846189
313,0.34976,0.417167,0.838418
314,0.35191,0.417051,0.843806
315,0.35133,0.416936,0.842648
316,0.35158,0.416821,0.84348
317,0.35459,0.416706,0.850935
318,0.34928,0.416592,0.838421
319,0.35259,0.416479,0.846597
320,0.35019,0.416366,0.841063
321,0.35055,0.416253,0.842155
322,0.35114,0.416141,0.8438
323,0.35184,0.41603,0.845709
324,0.35031,0.415918,0.842257
325,0.35199,0.415808,0.846521
326,0.35081,0.415697,0.843908
327,0.34935,0.415587,0.840618
328,0.34937,0.415478,0.840887
329,0.35029,0.415369,0.843323
330,0.35014,0.41526,0.843183
331,0.3502,0.415152,0.843547
332,0.35112,0.415044,0.845983
333,0.34859,0.414936,0.840105
334,0.34899,0.414829,0.841286
335,0.3499,0.414723,0.843697
336,0.3489,0.414616,0.841501
337,0.34892,0.41451,0.841764
338,0.34836,0.414405,0.840627
339,0.35127,0.4143,0.847864
340,0.3505,0.414195,0.846219
341,0.34794,0.414091,0.84025
342,0.34968,0.413987,0.844664
343,0.35149,0.413883,0.849249
344,0.34936,0.41378,0.844313
345,0.34901,0.413677,0.843677
346,0.34849,0.413575,0.842628
347,0.34677,0.413473,0.838676
348,0.34645,0.413371,0.838108
349,0.34943,0.41327,0.845525
350,0.34822,0.413169,0.842803
351,0.34893,0.413068,0.844727
352,0.34711,0.412968,0.840525
353,0.34645,0.412868,0.839129
354,0.34557,0.412769,0.8372
355,0.34871,0.41267,0.84501
356,0.34963,0.412571,0.847442
357,0.34734,0.412472,0.842093
358,0.34506,0.412374,0.836764
359,0.34472,0.412277,0.836138
360,0.34759,0.412179,0.843298
361,0.34488,0.412082,0.836921
362,0.34804,0.411985,0.844787
363,0.34378,0.411889,0.834643
364,0.34594,0.411793,0.840083
365,0.34892,0.411697,0.847516
366,0.34608,0.411602,0.840813
367,0.34434,0.411507,0.836779
368,0.3469,0.411412,0.843194
369,0.3499,0.411317,0.850681
370,0.3442,0.411223,0.837015
371,0.34715,0.411129,0.844381
372,0.34564,0.411036,0.8409
373,0.34586,0.410943,0.841626
374,0.34546,0.41085,0.840843
375,0.34657,0.410757,0.843734
376,0.3461,0.410665,0.842779
377,0.34583,0.410573,0.84231
378,0.34592,0.410481,0.842718
379,0.34429,0.41039,0.838934
380,0.34544,0.410299,0.841922
381,0.34647,0.410208,0.84462
382,0.34649,0.410118,0.844855
383,0.34447,0.410028,0.840114
384,0.34586,0.409938,0.843689
385,0.34531,0.409848,0.842531
386,0.34305,0.409759,0.837199
387,0.34334,0.40967,0.838089
388,0.34335,0.409581,0.838295
389,0.3413,0.409493,0.83347
390,0.34247,0.409405,0.836507
391,0.34745,0.409317,0.848853
392,0.34387,0.40923,0.840286
