n,probability,1/sqrt(ln(n)),ratio
955,0.07314,0.381754,0.191589
956,0.07179,0.381725,0.188067
957,0.07027,0.381696,0.184099
958,0.07189,0.381667,0.188358
959,0.07144,0.381638,0.187193
960,0.07212,0.381609,0.188989
961,0.07201,0.38158,0.188715
962,0.07073,0.381551,0.185375
963,0.07035,0.381522,0.184393
964,0.07179,0.381493,0.188181
965,0.07267,0.381465,0.190503
966,0.07093,0.381436,0.185955
967,0.07109,0.381407,0.186389
968,0.07148,0.381379,0.187425
969,0.07157,0.38135,0.187675
970,0.07104,0.381321,0.1863
971,0.07004,0.381293,0.183691
972,0.07156,0.381264,0.187691
973,0.07104,0.381236,0.186341
974,0.07069,0.381207,0.185437
975,0.07245,0.381179,0.190068
976,0.07122,0.381151,0.186855
977,0.07043,0.381122,0.184796
978,0.07218,0.381094,0.189402
979,0.06964,0.381066,0.182751
980,0.07167,0.381037,0.188092
981,0.0712,0.381009,0.186872
982,0.07056,0.380981,0.185206
983,0.07051,0.380953,0.185089
984,0.07087,0.380925,0.186047
985,0.07012,0.380897,0.184092
986,0.07168,0.380869,0.188201
987,0.07094,0.380841,0.186272
988,0.07044,0.380813,0.184973
989,0.07099,0.380785,0.186431
990,0.0724,0.380757,0.190148
991,0.0706,0.380729,0.185434
992,0.07071,0.380701,0.185736
993,0.07036,0.380673,0.18483
994,0.07091,0.380646,0.186289
995,0.07117,0.380618,0.186985
996,0.072,0.38059,0.18918
997,0.07108,0.380563,0.186776
998,0.0709,0.380535,0.186317
999,0.07087,0.380507,0.186251
1000,0.07135,0.38048,0.187526
1001,0.07062,0.380452,0.185621
1002,0.07066,0.380425,0.18574
1003,0.06915,0.380397,0.181784
1004,0.06981,0.38037,0.183532
1005,0.07065,0.380342,0.185754
1006,0.07071,0.380315,0.185925
1007,0.06974,0.380288,0.183387
1008,0.07135,0.38026,0.187635
1009,0.06947,0.380233,0.182704
1010,0.07063,0.380206,0.185768
1011,0.07063,0.380179,0.185781
1012,0.07042,0.380152,0.185242
1013,0.07113,0.380125,0.187123
1014,0.07042,0.380097,0.185268
1015,0.0697,0.38007,0.183387
1016,0.06939,0.380043,0.182584
1017,0.06975,0.380016,0.183545
1018,0.06931,0.379989,0.1824
1019,0.07051,0.379962,0.185571
1020,0.06871,0.379936,0.180846
1021,0.06987,0.379909,0.183913
1022,0.06974,0.379882,0.183583
1023,0.07073,0.379855,0.186203
1024,0.06859,0.379828,0.180582
1025,0.06974,0.379802,0.183622
1026,0.06986,0.379775,0.183951
1027,0.06892,0.379748,0.181489
1028,0.07044,0.379721,0.185504
1029,0.06979,0.379695,0.183805
1030,0.06897,0.379668,0.181659
1031,0.06979,0.379642,0.183831
1032,0.07042,0.379615,0.185504
1033,0.07065,0.379589,0.186122
1034,0.06975,0.379562,0.183764
1035,0.06963,0.379536,0.183461
1036,0.0701,0.379509,0.184712
1037,0.07038,0.379483,0.185463
1038,0.07124,0.379457,0.187742
1039,0.0694,0.37943,0.182906
1040,0.06936,0.379404,0.182813
1041,0.06844,0.379378,0.180401
1042,0.06985,0.379352,0.18413
1043,0.06884,0.379326,0.18148
1044,0.06851,0.379299,0.180622
1045,0.07029,0.379273,0.185328
1046,0.07047,0.379247,0.185815
1047,0.06905,0.379221,0.182084
1048,0.06978,0.379195,0.184021
1049,0.06937,0.379169,0.182953
1050,0.06869,0.379143,0.181172
1051,0.07009,0.379117,0.184877
1052,0.07162,0.379091,0.188925
1053,0.0688,0.379065,0.181499
1054,0.06996,0.37904,0.184572
1055,0.06718,0.379014,0.17725
1056,0.071,0.378988,0.187341
1057,0.06963,0.378962,0.183739
1058,0.06991,0.378936,0.18449
1059,0.06832,0.378911,0.180306
1060,0.06967,0.378885,0.183882
1061,0.06898,0.378859,0.182073
1062,0.06847,0.378834,0.180739
1063,0.06787,0.378808,0.179167
1064,0.06974,0.378783,0.184116
1065,0.06866,0.378757,0.181277
1066,0.0694,0.378732,0.183243
1067,0.0683,0.378706,0.180351
1068,0.06981,0.378681,0.184351
1069,0.06901,0.378655,0.18225
1070,0.06885,0.37863,0.18184
1071,0.06952,0.378605,0.183622
1072,0.06927,0.378579,0.182974
1073,0.0683,0.378554,0.180423
1074,0.06898,0.378529,0.182232
1075,0.06969,0.378504,0.18412
